title,year,certificate,runtime,genre,rating,metascore
The Wolf of Wall Street,(2013),R,180 min,"Biography, Crime, Drama ",8.2,75
Chak De! India,(2007),Not Rated,153 min,"Drama, Family, Sport ",8.2,68
There Will Be Blood,(2007),R,158 min,Drama ,8.2,93
Pan's Labyrinth,(2006),R,118 min,"Drama, Fantasy, War ",8.2,98
V for Vendetta,(2005),R,132 min,"Action, Drama, Sci-Fi ",8.2,62
Rang De Basanti,(2006),Not Rated,167 min,"Comedy, Drama ",8.2,
Black,(2005),Not Rated,122 min,Drama ,8.2,
Batman Begins,(2005),PG-13,140 min,"Action, Adventure ",8.2,70
Swades,(2004),Not Rated,189 min,Drama ,8.2,
Downfall,(2004),R,156 min,"Biography, Drama, History ",8.2,82
Howl's Moving Castle,(2004),PG,119 min,"Animation, Adventure, Family ",8.2,80
A Beautiful Mind,(2001),PG-13,135 min,"Biography, Drama ",8.2,72
Hera Pheri,(2000),Not Rated,156 min,"Action, Comedy, Crime ",8.2,
"Lock, Stock and Two Smoking Barrels",(1998),R,107 min,"Action, Comedy, Crime ",8.2,66
L.A. Confidential,(1997),R,138 min,"Crime, Drama, Mystery ",8.2,90
The Bandit,(1996),,128 min,"Crime, Drama, Thriller ",8.2,
Heat,(1995),R,170 min,"Crime, Drama, Thriller ",8.2,76
Casino,(1995),R,178 min,"Crime, Drama ",8.2,73
Andaz Apna Apna,(1994),PG,160 min,"Comedy, Romance ",8.2,
Unforgiven,(1992),R,130 min,"Drama, Western ",8.2,85
Indiana Jones and the Last Crusade,(1989),PG-13,127 min,"Action, Adventure ",8.2,65
My Neighbor Totoro,(1988),G,86 min,"Animation, Family, Fantasy ",8.2,86
Die Hard,(1988),R,132 min,"Action, Thriller ",8.2,72
Ran,(1985),R,162 min,"Action, Drama, War ",8.2,96
Raging Bull,(1980),R,129 min,"Biography, Drama, Sport ",8.2,89
Stalker,(1979),Not Rated,162 min,"Drama, Sci-Fi ",8.2,
The Message,(1976),PG,177 min,"Biography, Drama, History ",8.2,
Sholay,(1975),Not Rated,162 min,"Action, Adventure, Comedy ",8.2,
Monty Python and the Holy Grail,(1975),PG,91 min,"Adventure, Comedy, Fantasy ",8.2,91
The Great Escape,(1963),Approved,172 min,"Adventure, Drama, History ",8.2,86
To Kill a Mockingbird,(1962),Approved,129 min,"Crime, Drama ",8.2,88
Yojimbo,(1961),Not Rated,110 min,"Action, Drama, Thriller ",8.2,
Judgment at Nuremberg,(1961),Approved,179 min,"Drama, War ",8.2,60
Some Like It Hot,(1959),Passed,121 min,"Comedy, Music, Romance ",8.2,98
Wild Strawberries,(1957),Not Rated,91 min,"Drama, Romance ",8.2,88
The Seventh Seal,(1957),Not Rated,96 min,"Drama, Fantasy ",8.2,88
Rififi,(1955),Not Rated,118 min,"Crime, Drama, Thriller ",8.2,97
Dial M for Murder,(1954),PG,105 min,"Crime, Thriller ",8.2,75
Tokyo Story,(1953),Not Rated,136 min,Drama ,8.2,
Rashomon,(1950),Not Rated,88 min,"Crime, Drama, Mystery ",8.2,98
All About Eve,(1950),Passed,138 min,Drama ,8.2,98
The Treasure of the Sierra Madre,(1948),Passed,126 min,"Adventure, Drama, Western ",8.2,98
To Be or Not to Be,(1942),Passed,99 min,"Comedy, War ",8.2,86
The Gold Rush,(1925),Passed,95 min,"Adventure, Comedy, Drama ",8.2,
Sherlock Jr.,(1924),Passed,45 min,"Action, Comedy, Romance ",8.2,
Portrait of a Lady on Fire,(2019),R,122 min,"Drama, Romance ",8.1,95
Pink,(III) (2016),Not Rated,136 min,"Drama, Thriller ",8.1,
A Silent Voice: The Movie,(2016),Not Rated,130 min,"Animation, Drama, Family ",8.1,78
The Invisible Guest,(2016),TV-MA,106 min,"Crime, Drama, Mystery ",8.1,
The Handmaiden,(2016),Not Rated,145 min,"Drama, Romance, Thriller ",8.1,84
Mommy,(I) (2014),R,139 min,Drama ,8.1,74
Haider,(2014),Not Rated,160 min,"Action, Crime, Drama ",8.1,
Logan,(2017),R,137 min,"Action, Drama, Sci-Fi ",8.1,77
Room,(I) (2015),R,118 min,"Drama, Thriller ",8.1,86
Wild Tales,(2014),R,122 min,"Comedy, Drama, Thriller ",8.1,77
Winter Sleep,(2014),Not Rated,196 min,Drama ,8.1,88
Baahubali: The Beginning,(2015),Not Rated,159 min,"Action, Drama ",8.1,
Gully Boy,(2019),Not Rated,153 min,"Drama, Music ",8.1,65
PK,(2014),Not Rated,153 min,"Comedy, Drama, Musical ",8.1,
OMG: Oh My God!,(2012),Not Rated,125 min,"Comedy, Drama, Fantasy ",8.1,
The Grand Budapest Hotel,(2014),R,99 min,"Adventure, Comedy, Crime ",8.1,88
Gone Girl,(2014),R,149 min,"Drama, Mystery, Thriller ",8.1,79
Wolf Children,(2012),PG,117 min,"Animation, Drama, Family ",8.1,71
Hacksaw Ridge,(2016),R,139 min,"Biography, Drama, History ",8.1,71
Inside Out,(I) (2015),PG,95 min,"Animation, Adventure, Comedy ",8.1,94
Barfi!,(2012),Not Rated,151 min,"Comedy, Drama, Romance ",8.1,
12 Years a Slave,(2013),R,134 min,"Biography, Drama, History ",8.1,96
Rush,(I) (2013),R,123 min,"Action, Biography, Drama ",8.1,74
Ford v Ferrari,(2019),PG-13,152 min,"Action, Biography, Drama ",8.1,81
Spotlight,(I) (2015),R,129 min,"Biography, Crime, Drama ",8.1,93
Song of the Sea,(2014),PG,93 min,"Animation, Adventure, Drama ",8.1,85
Kahaani,(2012),Not Rated,122 min,"Mystery, Thriller ",8.1,
Zindagi Na Milegi Dobara,(2011),Not Rated,155 min,"Comedy, Drama ",8.1,
Prisoners,(2013),R,153 min,"Crime, Drama, Mystery ",8.1,70
Mad Max: Fury Road,(2015),R,120 min,"Action, Adventure, Sci-Fi ",8.1,90
A Wednesday,(2008),Not Rated,104 min,"Action, Crime, Drama ",8.1,
Gran Torino,(2008),R,116 min,Drama ,8.1,72
Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130 min,"Adventure, Drama, Fantasy ",8.1,85
Departures,(2008),PG-13,130 min,"Drama, Music ",8.1,68
Hachi: A Dog's Tale,(2009),G,93 min,"Drama, Family ",8.1,
Mary and Max,(2009),Not Rated,92 min,"Animation, Comedy, Drama ",8.1,
How to Train Your Dragon,(2010),PG,98 min,"Animation, Action, Adventure ",8.1,75
Elite Squad,(2007),R,115 min,"Action, Crime, Drama ",8.1,33
Into the Wild,(2007),R,148 min,"Adventure, Biography, Drama ",8.1,73
No Country for Old Men,(2007),R,122 min,"Crime, Drama, Thriller ",8.1,91
Lage Raho Munna Bhai,(2006),PG-13,144 min,"Comedy, Drama, Romance ",8.1,
Million Dollar Baby,(2004),PG-13,132 min,"Drama, Sport ",8.1,86
Hotel Rwanda,(2004),PG-13,121 min,"Biography, Drama, History ",8.1,79
Tae Guk Gi: The Brotherhood of War,(2004),R,140 min,"Action, Drama, War ",8.1,64
Before Sunset,(2004),R,80 min,"Drama, Romance ",8.1,90
Munna Bhai M.B.B.S.,(2003),Not Rated,156 min,"Comedy, Drama, Musical ",8.1,
Memories of Murder,(2003),Not Rated,132 min,"Action, Crime, Drama ",8.1,82
Dil Chahta Hai,(2001),Not Rated,183 min,"Comedy, Drama, Romance ",8.1,
Kill Bill: Vol. 1,(2003),R,111 min,"Action, Crime, Thriller ",8.1,69
Finding Nemo,(2003),G,100 min,"Animation, Adventure, Comedy ",8.1,90
Catch Me If You Can,(2002),PG-13,141 min,"Biography, Crime, Drama ",8.1,75
Amores Perros,(2000),R,154 min,"Drama, Thriller ",8.1,83
Neon Genesis Evangelion: The End of Evangelion,(1997),TV-14,87 min,"Animation, Action, Drama ",8.1,
Lagaan: Once Upon a Time in India,(2001),PG,224 min,"Adventure, Drama, Musical ",8.1,84
The Sixth Sense,(1999),PG-13,107 min,"Drama, Mystery, Thriller ",8.1,64
The Legend of 1900,(1998),R,169 min,"Drama, Music, Romance ",8.1,58
The Truman Show,(1998),PG,103 min,"Comedy, Drama, Sci-Fi ",8.1,90
"Black Cat, White Cat",(1998),R,127 min,"Comedy, Crime, Romance ",8.1,73
The Big Lebowski,(1998),R,117 min,"Comedy, Crime, Sport ",8.1,71
In the Mood for Love,(2000),PG,98 min,"Drama, Romance ",8.1,85
Trainspotting,(1996),R,93 min,Drama ,8.1,83
Fargo,(1996),R,98 min,"Crime, Drama, Thriller ",8.1,85
Underground,(1995),Not Rated,167 min,"Comedy, Drama, War ",8.1,
La Haine,(1995),Not Rated,98 min,"Crime, Drama ",8.1,
Dilwale Dulhania Le Jayenge,(1995),Not Rated,181 min,"Drama, Romance ",8.1,
Before Sunrise,(1995),R,101 min,"Drama, Romance ",8.1,77
Three Colors: Red,(1994),R,99 min,"Drama, Mystery, Romance ",8.1,100
Chungking Express,(1994),PG-13,102 min,"Comedy, Crime, Drama ",8.1,77
Jurassic Park,(1993),PG-13,127 min,"Action, Adventure, Sci-Fi ",8.1,68
In the Name of the Father,(1993),R,133 min,"Biography, Drama ",8.1,84
Raise the Red Lantern,(1991),PG,125 min,"Drama, History, Romance ",8.1,
Dead Poets Society,(1989),PG,128 min,"Comedy, Drama ",8.1,79
Stand by Me,(1986),R,89 min,"Adventure, Drama ",8.1,75
Platoon,(1986),R,120 min,"Drama, War ",8.1,92
"Paris, Texas",(1984),R,145 min,Drama ,8.1,78
Nausicaä of the Valley of the Wind,(1984),PG,117 min,"Animation, Adventure, Fantasy ",8.1,86
The Thing,(1982),R,109 min,"Horror, Mystery, Sci-Fi ",8.1,57
Pink Floyd: The Wall,(1982),R,95 min,"Drama, Fantasy, Music ",8.1,47
Fitzcarraldo,(1982),PG,158 min,"Adventure, Drama ",8.1,
Fanny and Alexander,(1982),R,188 min,Drama ,8.1,100
Blade Runner,(1982),R,117 min,"Action, Sci-Fi, Thriller ",8.1,84
The Elephant Man,(1980),PG,124 min,"Biography, Drama ",8.1,78
Monty Python's Life of Brian,(1979),R,94 min,Comedy ,8.1,77
The Deer Hunter,(1978),R,183 min,"Drama, War ",8.1,86
Rocky,(1976),PG,120 min,"Drama, Sport ",8.1,70
Network,(1976),R,121 min,Drama ,8.1,83
Barry Lyndon,(1975),PG,185 min,"Adventure, Drama, History ",8.1,89
The Mirror,(1975),G,107 min,"Biography, Drama ",8.1,
Chinatown,(1974),R,130 min,"Drama, Mystery, Thriller ",8.1,92
Paper Moon,(1973),PG,102 min,"Comedy, Crime, Drama ",8.1,77
Cries & Whispers,(1972),R,91 min,Drama ,8.1,
Solaris,(1972),PG,167 min,"Drama, Mystery, Sci-Fi ",8.1,90
Le Samouraï,(1967),GP,101 min,"Crime, Drama, Mystery ",8.1,
Cool Hand Luke,(1967),GP,127 min,"Crime, Drama ",8.1,92
Persona,(1966),Not Rated,83 min,"Drama, Thriller ",8.1,86
Andrei Rublev,(1966),R,205 min,"Biography, Drama, History ",8.1,
The Battle of Algiers,(1966),Not Rated,121 min,"Drama, War ",8.1,96
The Exterminating Angel,(1962),Not Rated,95 min,"Drama, Fantasy ",8.1,
What Ever Happened to Baby Jane?,(1962),Passed,134 min,"Drama, Horror, Thriller ",8.1,75
Sanjuro,(1962),Not Rated,96 min,"Action, Comedy, Crime ",8.1,
The Man Who Shot Liberty Valance,(1962),Not Rated,123 min,"Drama, Western ",8.1,94
Ivan's Childhood,(1962),Not Rated,84 min,"Drama, War ",8.1,
The Virgin Spring,(1960),Not Rated,89 min,Drama ,8.1,
Inherit the Wind,(1960),Passed,128 min,"Biography, Drama, History ",8.1,75
The 400 Blows,(1959),Not Rated,99 min,"Crime, Drama ",8.1,
Ben-Hur,(1959),G,212 min,"Adventure, Drama, History ",8.1,90
The Hidden Fortress,(1958),Not Rated,126 min,"Adventure, Drama ",8.1,
Sweet Smell of Success,(1957),Approved,96 min,"Drama, Film-Noir ",8.1,100
Nights of Cabiria,(1957),Not Rated,110 min,Drama ,8.1,
Throne of Blood,(1957),Not Rated,110 min,"Drama, History ",8.1,
The Bridge on the River Kwai,(1957),PG,161 min,"Adventure, Drama, War ",8.1,87
On the Waterfront,(1954),Approved,108 min,"Crime, Drama, Thriller ",8.1,91
The Wages of Fear,(1953),Not Rated,131 min,"Adventure, Drama, Thriller ",8.1,85
Ace in the Hole,(1951),Approved,111 min,"Drama, Film-Noir ",8.1,72
White Heat,(1949),Not Rated,114 min,"Action, Crime, Drama ",8.1,
The Third Man,(1949),Approved,93 min,"Film-Noir, Mystery, Thriller ",8.1,97
The Red Shoes,(1948),Not Rated,135 min,"Drama, Music, Romance ",8.1,
